ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
48;1901130000;2455422;2455422;PASCO;PASCO;YANACANCHA;CREACION DE  LOSA MULTIUSO  EN EL JR. UCAYALI DEL AA.HH. VÍCTOR RAUL HAYA DE LA TORRE,  DISTRITO DE YANACANCHA - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE YANACANCHA;17;11241;Espacio Público;528 377;496153;Atrasada
49;1201070000;2452577;2452577;JUNIN;HUANCAYO;CHILCA;CREACION DE LOSA DE RECREACIÓN MULTIUSOS EN EL SUB SECTOR SC 11  DISTRITO DE CHILCA - PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHILCA;18;6053;Espacio Público;594 688;479207;Atrasada
50;501020000;2451819;2451819;AYACUCHO;HUAMANGA;ACOCRO;CREACION DEL PARQUE Y ÁREAS VERDES EN EL CENTRO POBLADO DE JESÚS NAZARENO DE CHONTACA DEL  DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE ACOCRO;15;1670;Espacio Público;499 540;499540;Adelantada
51;505010000;2427872;2427872;AYACUCHO;LA MAR;SAN MIGUEL;CREACION DEL SERVICIO DE PARQUES Y JARDINES DE PATIBAMBA DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL;16;389;Espacio Público;524 288;524287;Por recepcionar
52;1202110000;2445184;2445184;JUNIN;CONCEPCION;MITO;CREACION DE LA LOSA DEPORTIVA EN EL BARRIO CULTURAL DE AMANCAES DEL  DISTRITO DE MITO - PROVINCIA DE CONCEPCION - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE MITO;17;1250;Espacio Público;545 114;535513;Atrasada
53;505090000;2415934;2415934;AYACUCHO;LA MAR;SAMUGARI;CREACION DE LOSA DE RECREACIÓN MULTIUSO EN EL CENTRO POBLADO DE PALMAPAMPA DEL DISTRITO DE SAMUGARI - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAMUGARI;18;3279;Espacio Público;585 760;576096;Recepcionada
54;2209120000;2468022;2468022;SAN MARTIN;SAN MARTIN;SAN ANTONIO;CREACION DE ALAMEDA PEATONAL LA PAZ EN EL  DISTRITO DE SAN ANTONIO - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;19;1387;Espacio Público;613 317;598316;Atrasada
55;1204010000;2425984;2425984;JUNIN;JAUJA;JAUJA;CREACION DEL SERVICIO DE LOSA DE RECREACIÓN MULTIUSO EN EL BARRIO SAN ANTONIO DEL DISTRITO DE JAUJA - PROVINCIA DE JAUJA - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE JAUJA;20;1805;Espacio Público;662 699;581158;Normal
56;1203030000;2295056;2295056;JUNIN;CHANCHAMAYO;PICHANAKI;CREACION DEL SERVICIO DE RECREACION DE LA LOSA MULTIUSOS EN EL CENTRO POBLADO JUAN VELASCO ALVARADO, DISTRITO DE PICHANAQUI - CHANCHAMAYO - JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE PICHANAQUI;19;684;Espacio Público;605 496;605496;Adelantada
57;102040000;2429984;2429984;AMAZONAS;BAGUA;EL PARCO;CREACION DE LA LOSA DE RECREACION MULTIUSO EN LA LOCALIDAD DE EL PARCO DEL DISTRITO DE EL PARCO - PROVINCIA DE BAGUA - DEPARTAMENTO DE AMAZONAS;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE EL PARCO;19;1485;Espacio Público;611 459;611459;Atrasada
