ITEM;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;MONTO DE INVERSIÃ“N;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
66;2468108;2468108;HUANCAVELICA;ANGARAES;CONGALLA;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE CHAYNABAMBA DEL DISTRITO DE CONGALLA - PROVINCIA DE ANGARAES - DEPARTAMENTO DE HUANCAVELICA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE CONGALLA;28;493;902 151;896150;Adelantada
67;2387577;2387577;PIURA;PIURA;VEINTISEIS DE OCTUBRE;CREACION DEL SERVICIO DE RECREACION ACTIVA EN EL SECTOR 6, DEL AH. NUEVA ESPERANZA CENTRO POBLADO DE SAN MART?Ã¬N - DISTRITO DE VEINTISEIS DE OCTUBRE - PROVINCIA DE PIURA - REGIÃ“N PIURA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE;19;926;602 596;896106;Atrasada
68;2461050;2461050;LIMA;LIMA;SAN MARTIN DE PORRES;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL PROGRAMA DE VIVIENDA EL TREBOL DE CHUQUITANTA DEL DISTRITO DE SAN MARTIN DE PORRES - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES;37;2029;1 227 510;910361;Recepcionada
69;156114;2121359;ICA;PISCO;INDEPENDENCIA;CONSTRUCCION DE PISTAS,VEREDAS Y HABILITACION DE AREAS VERDES EN LA ASOCIACION DE VIVIENDA 05 DE OCTUBRE DEL DISTRITO DE INDEPENDENCIA, PROVINCIA DE PISCO - ICA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - ICA;31;550;1 030 360;991118;Normal
70;2457726;2457726;PUNO;AZANGARO;POTONI;CREACION DE LA PLAZA DE RECREACIÃ“N PASIVA DEL BARRIO HUAYNA CAPAC DEL CENTRO POBLADO CARLOS GUTIERREZ ALZAMORA DEL DISTRITO DE POTONI - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE POTONI;35;1818;1 164 707;1156207;Por recepcionar
71;331793;2290247;LA LIBERTAD;CHEPEN;PACANGA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD EN LAS CALLES DEL SECTOR OESTE, DE LA LOCALIDAD SAN JUAN DE DIOS, DISTRITO DE PACANGA - CHEPEN - LA LIBERTAD;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PACANGA;35;295;1 187 067;1150167;Obra Reiniciada
72;259112;2180973;HUANUCO;DOS DE MAYO;YANAS;MEJORAMIENTO, AMPLIACION DE LA PLAZA PRINCIPAL DE YANAS, DISTRITO DE YANAS - DOS DE MAYO - HUANUCO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE YANAS;35;3127;1 199 512;1123161;Por recepcionar
73;2405364;2405364;LIMA;LIMA;ANCON;CREACION DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA ASOCIACION PRO VIVIENDA SAN PEDRO DE ANCON, DEL DISTRITO DE ANCON - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE ANCON;50;2940;1 690 989;1690989;Normal
74;332079;2290553;CUSCO;ESPINAR;SUYCKUTAMBO;MEJORAMIENTO DE LA TRANSITABILIDAD PEATONAL Y VEHICULAR  EN LAS CALLES CAYLLOMA, VIRGINNIYOC, INTI TAYTA, PUQUIO Y PROLONGACIONES TUPAC AMARU, AREQUIPA, ARICA, COLON Y ALFONSO UGARTE EN LA LOCALIDAD DE VIRGINNIYOC, DISTRITO DE SUYCKUTAMBO - ESPINAR - CUSCO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SUYCKUTAMBO;54;843;1 833 300;1728792;Por Iniciar
75;2432217;2432217;LIMA;LIMA;CARABAYLLO;CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AVENIDA LOS CONSTRUCTORES Y AVENIDA LOS CLAVELES, TRAMO DESDE LA ASOC. ESPERANZA HASTA EL A.H. 27 DE OCTUBRE  DISTRITO DE CARABAYLLO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE CARABAYLLO;90;4514;3 082 763;75917;Adelantada
76;2463882;2463882;HUANCAVELICA;TAYACAJA;AHUAYCHA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL BARRIO CENTRO DEL CENTRO POBLADO YARCCACANCHA DEL DISTRITO DE AHUAYCHA - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE AHUAYCHA;89;278;3 050 616;3196116;Normal
77;285106;2242332;JUNIN;CONCEPCION;NUEVE DE JULIO;MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LOS ACCESOS A LA PLAZA PRINCIPAL DEL DISTRITO DE NUEVE DE JULIO, PROVINCIA DE CONCEPCION - JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE NUEVE DE JULIO;128;1387;4 392 428;4392428;Adelantada
78;304594;2247358;PUNO;MELGAR;AYAVIRI;MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS VIAS URBANAS EN LA URBANIZACION TUPAC AMARU, DISTRITO DE AYAVIRI, PROVINCIA DE MELGAR - PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI;55;425;1 891 129;1824576;Normal
79;2470475;2470475;APURIMAC;ANDAHUAYLAS;TALAVERA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL  EN EL CERCADO DE LA LOCALIDAD DE TALAVERA, DEL  DISTRITO DE TALAVERA - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE TALAVERA;261;2575;8 967 083;5337049;Adelantada
80;2451954;2451954;PUNO;PUNO;VILQUE;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LOS JIRONES Y CALLES DE LA LOCALIDAD DE VILQUE DEL DISTRITO DE VILQUE - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE VILQUE;104;1245;3 548 427;3514026;Atrasada
81;321442;2275789;AYACUCHO;HUANTA;LLOCHEGUA;CREACION DE PISTAS Y VEREDAS DEL C. P. PUERTO AMARGURA, DISTRITO DE LLOCHEGUA - HUANTA - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE LLOCHEGUA;119;612;4 075 320;4042319;Normal
82;209496;2222755;CUSCO;CHUMBIVILCAS;VELILLE;MEJORAMIENTO DE LA TRANSITABILIDAD PEATONAL Y VEHICULAR EN LAS VIAS PRINCIPALES DEL BARRIO QORILAZO Y CERCADO DE LA LOCALIDAD DE VELILLE, DISTRITO DE VELILLE - CHUMBIVILCAS - CUSCO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE VELILLE;306;2465;10 519 392;6977969;Normal
83;2437354;2437354;PUNO;PUNO;MAÃ‘AZO;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AV. CIRCUNVALACION SUR (CUADRAS 07 AL 15), JR. SAN SANTIAGO (CUADRAS 01 AL 03), JR. JUNIN (CUADRAS 01 AL 02), JR. PIURA (CUADRA 01), JR. MAÃ‘AZO (CUADRAS 01 AL 03), AV. EL TRIUNFO (CUADRA 01), JR. TUPAC AMARU (CUADRAS 03 AL 06), JR. JOSE CARLOS MARIATEGUI (CUADRA 06) Y JR. JORGE CHAVEZ (CUADRAS 03 AL 06) DEL  DISTRITO DE MAÃ‘AZO - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE MAÃ‘AZO;148;3011;5 077 264;5045264;Atrasada
84;2482819;2482819;JUNIN;CHUPACA;HUAMANCACA CHICO;MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA DE LAS CALLES JR. HUÃSCAR, JR. PROGRESO, PSJE. RAMÃ“N CASTILLA, PSJE. SAN MARTÃN, PSJE. LOS COMUNEROS, PSJE. DAMIÃN RAMOS, CALLE CALAMAQUI, JR. LA UNIÃ“N,  DISTRITO DE HUAMANCACA CHICO - PROVINCIA DE CHUPACA - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUAMANCACA CHICO;278;17872;9 552 153;5692891;SuspensiÃ³n del plazo de ejecuciÃ³n
85;2395833;2395833;CAJAMARCA;JAEN;JAEN;MEJORAMIENTO DEL SERVCIO DE TRANSITABILIDAD DE LA CALLE MARISCAL URETA Y CALLES ALEDAÃ‘AS EN LA URBANIZACION MONTERRICO Y PACAMUROS - DISTRITO DE JAEN - PROVINCIA DE JAEN - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE JAEN;176;795;6 038 345;5963311;SuspensiÃ³n del plazo de ejecuciÃ³n
86;316746;2282851;AYACUCHO;LUCANAS;CARMEN SALCEDO;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LAS CALLES DE JR. LIMA, JR. TUPAC AMARU, JR MIGUEL GRAU CUADRA 4 Y 5, JR. JORGE CHAVEZ CUADRA 3, JR. SAN MARTIN CUADRA 3 Y 4, Y JR. CAHUIDE CUADRA 4 DE LA LOCALIDAD DE  ANDAMARCA, DISTRITO DE CARMEN SALCEDO - LUCANAS - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE CARMEN SALCEDO;130;1729;4 430 746;4387503;Proceso de SelecciÃ³n
87;2437594;2437594;PUNO;PUNO;ATUNCOLLA;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DE PISTAS Y VEREDAS EN LA LOCALIDAD DE ATUNCOLLA DEL DISTRITO DE ATUNCOLLA - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE ATUNCOLLA;120;4574;4 103 508;3980107;Adelantada
88;378748;2339932;LA LIBERTAD;OTUZCO;AGALLPAMPA;MEJORAMIENTO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL CASERIO DE CARATA, DISTRITO DE AGALLPAMPA - OTUZCO - LA LIBERTAD;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE AGALLPAMPA;90;1500;3 052 710;2995710;Adelantada
89;381863;2343176;PUNO;AZANGARO;ASILLO;MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS CALLES SAEZ PEÃ‘A, TARAPACA, AUGUSTO B. LEGUIA ROSELLO, TUPAC AMARU, SAN GERONIMO, JORGE CHAVEZ, AZANGARO, SANTA CRUZ Y VIAS CONEXAS, DE LA LOCALIDAD DE ASILLO, DISTRITO DE ASILLO - AZANGARO - PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE ASILLO;138;1569;4 736 422;4258020;Normal
90;329106;2295092;PUNO;EL COLLAO;ILAVE ;MEJORAMIENTO DE PISTAS Y VEREDAS DEL JIRON 10 DE MAYO (4TA HASTA LA 8VA CUADRA), Y LOS JIRONES DE LA FLORIDA, LOS ALAMOS, 24 DE JUNIO, Y SUS CALLES CONEXAS DE LA URBANIZACION NUESTRA SEÃ‘ORA DEL CARMEN DE LA CIUDAD DE ILAVE, PROVINCIA DE EL COLLAO - P;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE;217;1790;7 470 866;4463832;Normal
91;2350075;2350075;AYACUCHO;HUANTA;AYAHUANCO;CREACION DE PISTAS Y VEREDAS DE LOS JIRONES LOS HEROES CDA 1, 2 Y 3, PASAJE JONAS CDA 1, JIRON MILTON CORDOVA CDA 1 Y 2, JIRON LURICOCHA CDA 1, 2 Y 3, JIRON RAZUHUILLCA CDA 1 Y 2, JIRON INDEPENDENCIA CDA 1, 4 Y 5, JIRON PERU CDA 1, 2, 3 Y 4 EN VIRACOCHAN, DISTRITO DE AYAHUANCO - HUANTA - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE AYAHUANCO;90;987;3 063 134;2711464;Atrasada
92;2471643;2471643;APURIMAC;ANDAHUAYLAS;TURPO;MEJORAMIENTO DE LA TRANSITABILIDAD PEATONAL Y VEHICULAR DE LA LOCALIDAD DE TURPO,  DISTRITO DE TURPO - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE TURPO;214;1429;7 344 360;4379496;Adelantada
93;2442560;2442560;JUNIN;HUANCAYO;HUACRAPUQUIO;MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA AV. PEÃ‘ALOZA, AV. LIMA, CALLE LA BREÃ‘A (TRAMO CALLE LIMA, CALLE REAL) CALLE LOS ÃLAMOS (TRAMO AV. PEÃ‘ALOZA, ESTADIO) CALLE REAL, JIRÃ“N CALLAO Y PERÃMETRO DEL PARQUE LA BREÃ‘A  DISTRITO DE HUACRAPUQUIO - PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUACRAPUQUIO;165;466;5 662 831;5505675;Normal
94;353589;2316328;AYACUCHO;CANGALLO;MARIA PARADO DE BELLIDO;CREACION DE PISTAS Y VEREDAS EN LAS AVENIDAS SAN JUAN BAUTISTA, SAN JUAN DE DIOS, LA CULTURA, SANTA CRUZ, MARIA PARADO DE BELLIDO, JUANA HUANCASACA Y LA CALLE MANZANAPATA EN LA COMUNIDAD DE URIHUANA, DISTRITO DE MARIA PARADO DE BELLIDO - CANGALLO - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE MARIA PARADO DE BELLIDO;84;163;2 889 442;2085583;Permanente
95;345850;2307158;CAJAMARCA;CAJAMARCA;CHETILLA;MEJORAMIENTO DE PISTAS Y VEREDAS DE LA CIUDAD DE CHETILLA, DISTRITO CHETILLA - CAJAMARCA - CAJAMARCA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE CHETILLA;205;4204;7 044 424;4000000;SuspensiÃ³n del plazo de ejecuciÃ³n
96;215255;2157560;JUNIN;HUANCAYO;PILCOMAYO;MEJORAMIENTO VIAL DE LA AV. LEONCIO PRADO TRAMO AV. LAS AMERICAS - RIO CUNAS DEL, DISTRITO DE PILCOMAYO - HUANCAYO - JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PILCOMAYO;196;700;6 701 466;3998139;Normal
97;2242877;2242877;AYACUCHO;PARINACOCHAS;PACAPAUSA;MEJORAMIENTO DE PISTAS Y VEREDAS EN EL CENTRO POBLADO DE PACAPAUSA BAJA,  DISTRITO DE PACAPAUSA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PACAPAUSA;107;1220;3 640 054;3628054;Atrasada
98;288633;2195019;AYACUCHO;VICTOR FAJARDO;HUALLA;MEJORAMIENTO DE VIAS URBANAS EN 15 JIRONES DE LA LOCALIDAD DE HUALLA, DISTRITO DE HUAYA - VICTOR FAJARDO - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUAYA;169;2903;5 792 134;5792134;SuspensiÃ³n del plazo de ejecuciÃ³n
99;2483934;2483934;SAN MARTIN;SAN MARTIN;SAN ANTONIO;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR DE LAS PRINCIPALES VÃAS URBANAS DE LA LOCALIDAD DE SAN PEDRO DE CUMBAZA DEL DISTRITO DE SAN ANTONIO - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;179;1500;6 107 330;5708497;Adelantada
100;371989;2332709;AYACUCHO;HUANTA;LURICOCHA;CREACION DE PISTAS Y VEREDAS DE LAS CALLES PRINCIPALES DEL CENTRO POBLADO SAN PEDRO DE PAMPAY, DISTRITO DE LURICOCHA - HUANTA - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE LURICOCHA;159;543;5 452 482;5452482;Normal
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
